brand,model,car_name,car_category,  price  ,trim,  kilometers  ,year, vehicle_age_years ,regional_specs,doors,body_type,fuel_type,seating_capacity,transmission_type,engine_capacity_cc,horsepower,no_of_cylinders,exterior_color,interior_color,warranty,address,country,city,area_name,location_name,seller_type,lat,long
BMW,3-Series,Bmw 3-Series,Premium_compact,"35,000",318i,"200,000",2018,6,GCC Specs,4,Sedan,Petrol,4,Automatic Transmission,,100 - 199,3,White,Beige,Does not apply,"Mirdif, Dubai, UAE",UAE,Dubai,Mirdif,,Owner,25.096326,55.1984022
Mitsubishi,Pajero,Mitsubishi Pajero,Full_sized_SUV,"35,000",GLS,"170,000",2013,11,GCC Specs,3,SUV,Petrol,5,Automatic Transmission,3000 - 3499,300 - 399,6,Silver,Black,Does not apply,"Al Barsha South 3, Al Barsha South, Al Barsha, Dubai, UAE",UAE,Dubai,Al Barsha,Al Barsha South,Owner,24.985235,55.048181
Nissan,Tiida,Nissan Tiida,Sub_compact,"35,000",SL Plus,"87,400",2016,8,GCC Specs,4,Hatchback,Petrol,,Automatic Transmission,,0 - 99,4,White,Unknown,No,"Al Rigga, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Rigga,Owner,25.2692794,55.3870978
Nissan,Tiida,Nissan Tiida,Sub_compact,"35,000",SL Plus,"87,400",2016,8,GCC Specs,4,Hatchback,Petrol,,Automatic Transmission,,0 - 99,4,White,Unknown,No,"Al Rigga, Deira, Dubai, UAE",UAE,Dubai,Deira,Al Rigga,Owner,25.2692794,55.3870978
Mercedes-Benz,CL-Class,Mercedes-Benz Cl-Class,Premium_perf_midsize_car,"35,000",CL 500,"220,000",2010,14,GCC Specs,2,Sports Car,Petrol,4,Automatic Transmission,Unknown,300 - 399,8,White,Beige,Does not apply,"Umm Ramool, Dubai, UAE",UAE,Dubai,Umm Ramool,,Owner,25.219343,55.2578183
BMW,3-Series,Bmw 3-Series,Premium_compact,"35,000",320i,"135,000",2012,12,GCC Specs,5,Sedan,Petrol,5,Automatic Transmission,3000 - 3499,100 - 199,4,Grey,Beige,No,"Dubai, UAE",UAE,Dubai,,,Owner,25.096326,55.1984022
Mitsubishi,Pajero,Mitsubishi Pajero,Full_sized_SUV,"35,000",GLS,"145,557",2015,9,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,3500 - 3999,100 - 199,6,Silver,Black,No,"Al Muroor, Abu Dhabi, UAE",UAE,Abu Dhabi,Al Muroor,,Dealer,24.985235,55.048181
Mitsubishi,Pajero,Mitsubishi Pajero,Full_sized_SUV,"35,000",GLS,"145,557",2015,9,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,3500 - 3999,100 - 199,6,Silver,Black,No,"Al Muroor, Abu Dhabi, UAE",UAE,Abu Dhabi,Al Muroor,,Dealer,24.985235,55.048181
Kia,Pegas,Kia Pegas,Sub_compact,"35,000",LX,"42,500",2021,3,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,1000 - 1499,100 - 199,4,White,Unknown,Yes,"Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,,Dealer,25.1738662,55.2187829
Cadillac,CTS/Catera,Cadillac Cts/Catera,Premium_midsized_car,"35,000",Other,"134,358",2014,10,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,3500 - 3999,300 - 399,6,Black,Beige,No,"Al Warqaa, Dubai, UAE",UAE,Dubai,Al Warqaa,,Dealer,24.476252,54.3726749
Nissan,Maxima,Nissan Maxima,Premium_midsized_car,"35,000",SL,"65,108",2016,8,American Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499,200 - 299,6,Grey,Black,No,"Dubai, UAE",UAE,Dubai,,,Owner,25.1524105,55.2340999
Cadillac,CTS/Catera,Cadillac Cts/Catera,Premium_midsized_car,"35,000",Other,"134,358",2014,10,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,3500 - 3999,300 - 399,6,Black,Beige,No,"Al Warqaa, Dubai, UAE",UAE,Dubai,Al Warqaa,,Dealer,24.476252,54.3726749
Nissan,Maxima,Nissan Maxima,Premium_midsized_car,"35,000",SL,"65,108",2016,8,American Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499,200 - 299,6,Grey,Black,No,"Dubai, UAE",UAE,Dubai,,,Owner,25.1524105,55.2340999
Fiat,Fiat-500,Fiat Fiat-500,Mini_compact,"35,000",Lounge,"98,000",2017,7,GCC Specs,5,Hatchback,Petrol,,Automatic Transmission,,300 - 399,4,White,White,Does not apply,"Al Warqaa 1, Al Warqaa, Dubai, UAE",UAE,Dubai,Al Warqaa,Al Warqaa 1,Owner,25.3140619,55.6409292
Fiat,Fiat-500,Fiat Fiat-500,Mini_compact,"35,000",Other,"98,000",2016,8,GCC Specs,2,Soft Top Convertible,Petrol,4,Automatic Transmission,1000 - 1499,Unknown,,Red,Brown,Does not apply,"Jumeirah Village Circle (JVC), Dubai, UAE",UAE,Dubai,Jumeirah Village Circle (JVC),,Owner,25.3140619,55.6409292
Ford,Expedition,Ford Expedition,Full_sized_SUV,"35,000",XLT,"170,000",2014,10,GCC Specs,5,SUV,Petrol,,Automatic Transmission,,300 - 399,8,Black,Beige,Does not apply,"Mirdif 44 Villas, Uptown Mirdif, Mirdif, Dubai, UAE",UAE,Dubai,Mirdif,Uptown Mirdif,Owner,25.1790137,55.379422
Ford,Expedition,Ford Expedition,Full_sized_SUV,"35,000",XLT,"170,000",2014,10,GCC Specs,5,SUV,Petrol,,Automatic Transmission,,300 - 399,8,Black,Beige,Does not apply,"Mirdif 44 Villas, Uptown Mirdif, Mirdif, Dubai, UAE",UAE,Dubai,Mirdif,Uptown Mirdif,Owner,25.1790137,55.379422
BMW,X5,Bmw X5,Full_sized_SUV,"35,000",4.8i,"207,000",2009,15,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,4000+,100 - 199,8,White,Beige,No,"Arabian Ranches 3, Dubai, UAE",UAE,Dubai,Arabian Ranches 3,,Owner,25.1177213,55.2357807
BMW,X5,Bmw X5,Full_sized_SUV,"35,000",4.8i,"207,000",2009,15,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,4000+,100 - 199,8,White,Beige,No,"Arabian Ranches 3, Dubai, UAE",UAE,Dubai,Arabian Ranches 3,,Owner,25.1177213,55.2357807
Lexus,NX 350,Lexus Nx 350,Compact_Midsize_SUV,"179,000",Other,"26,000",2022,2,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,2500 - 2999,200 - 299,6,Green,Unknown,Yes,"Ras Al Khor Industrial 2, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.1790137,55.379422
Lexus,NX 350,Lexus Nx 350,Compact_Midsize_SUV,"179,000",Other,"26,000",2022,2,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,2500 - 2999,200 - 299,6,Green,Unknown,Yes,"Ras Al Khor Industrial 2, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.1790137,55.379422
Land Rover,Discovery Sport,Land Rover Discovery Sport,Compact_Midsize_SUV,"178,000",SE,"85,000",2019,5,American Specs,5,SUV,Petrol,5,Automatic Transmission,3000 - 3499,300 - 399,6,Blue,Black,No,"Ras Al Khor Industrial 3, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.266173,55.3377718
BMW,3-Series,Bmw 3-Series,Premium_compact,"35,000",335i,"159,000",2011,13,GCC Specs,2,Coupe,Petrol,,Automatic Transmission,,300 - 399,6,Blue,Black,No,"Dubai, UAE",UAE,Dubai,,,Owner,25.096326,55.1984022
BMW,3-Series,Bmw 3-Series,Premium_compact,"35,000",335i,"159,000",2011,13,GCC Specs,2,Coupe,Petrol,,Automatic Transmission,,300 - 399,6,Blue,Black,No,"Dubai, UAE",UAE,Dubai,,,Owner,25.096326,55.1984022
Volkswagen,Caddy,Volkswagen Caddy,Subcompact_SUV,"35,000",Standard,"160,000",2007,17,GCC Specs,5,Van,Petrol,5,Manual Transmission,Unknown,Unknown,4,Blue,Blue,No,"Dubai Marina, Dubai, UAE",UAE,Dubai,Dubai Marina,,Owner,25.0786415,55.1352524
Ford,Ecosport,Ford Ecosport,Subcompact_SUV,"35,000",Trend,"73,000",2018,6,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,2000 - 2499,200 - 299,4,Red,Unknown,Does not apply,"Arjan, Dubai, UAE",UAE,Dubai,Arjan,,Owner,25.1524105,55.2340999
BMW,3-Series,Bmw 3-Series,Premium_compact,"35,000",330i,"85,000",2006,18,Japanese Specs,4,Sedan,Petrol,5,Automatic Transmission,3000 - 3499,200 - 299,6,White,Black,Does not apply,"Park Greens, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE",UAE,Dubai,DAMAC Hills 2 (Akoya by DAMAC),Park Greens,Owner,25.096326,55.1984022
Kia,Sedona,Kia Sedona,Compact_pick_up,"35,000",LX,"104,120",2015,9,American Specs,4,Sedan,Petrol,7,Automatic Transmission,3000 - 3499,200 - 299,6,Brown,Beige,Yes,"Industrial Area 2, Industrial Area, Sharjah, UAE",UAE,Sharjah,Industrial Area,Industrial Area 2,Dealer,25.3121009,55.4010201
Nissan,Kicks,Nissan Kicks,Subcompact_SUV,"35,000",SV,"57,570",2020,4,American Specs,4,SUV,Petrol,5,Automatic Transmission,1500 - 1999,100 - 199,4,Grey,Black,Yes,"Industrial Area 2, Industrial Area, Sharjah, UAE",UAE,Sharjah,Industrial Area,Industrial Area 2,Dealer,25.0559446,55.207465
Kia,Sedona,Kia Sedona,Compact_pick_up,"35,000",LX,"104,120",2015,9,American Specs,4,Sedan,Petrol,7,Automatic Transmission,3000 - 3499,200 - 299,6,Brown,Beige,Yes,"Industrial Area 2, Industrial Area, Sharjah, UAE",UAE,Sharjah,Industrial Area,Industrial Area 2,Dealer,25.3121009,55.4010201
Kia,Cerato,Kia Cerato,Compact_car,"35,000",LX,"193,000",2016,8,GCC Specs,2,Coupe,Petrol,4,Automatic Transmission,2000 - 2499,200 - 299,4,Red,Black,No,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Owner,25.2653471,55.2924914
Hyundai,Sonata,Hyundai Sonata,Mid_sized_car,"35,000",SE,"74,000",2019,5,American Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499,Unknown,4,Black,Beige,No,"Souq Al Haraj / Tasjeel Village, Saif Zone (Sharjah International Airport Free Zone), Sharjah, UAE",UAE,Sharjah,Saif Zone (Sharjah International Airport Free Zone),Souq Al Haraj / Tasjeel Village,Dealer,25.2806161,55.3872945
Jeep,Renegade,Jeep Renegade,Subcompact_SUV,"35,000",Sport,"57,000",2020,4,American Specs,4,Other,Petrol,5,Automatic Transmission,2000 - 2499,100 - 199,4,Silver,Black,Does not apply,"Al Nahda 2, Al Nahda (Dubai), Dubai, UAE",UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,Dealer,25.2692794,55.3870978
Mercedes-Benz,S-Class,Mercedes-Benz S-Class,Premium_fullsized_car,"665,000",S 500,  -    ,2024, -   ,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,3000 - 3499,300 - 399,6,Black,White,Yes,"Sheikh Zayed Road, Dubai, UAE",UAE,Dubai,Sheikh Zayed Road,,Dealer,25.3061521,55.3441577
Renault,Captur,Renault Captur,Subcompact_SUV,"35,000",LE,"87,000",2018,6,GCC Specs,5,Crossover,Petrol,5,Automatic Transmission,1500 - 1999,100 - 199,4,White,Black,Yes,"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.2653471,55.2924914
Land Rover,Discovery Sport,Land Rover Discovery Sport,Compact_Midsize_SUV,"178,000",SE,"85,000",2019,5,American Specs,5,SUV,Petrol,5,Automatic Transmission,3000 - 3499,300 - 399,6,Blue,Black,No,"Ras Al Khor Industrial 3, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.266173,55.3377718
Tesla,Model Y,Tesla Model Y,Compact_Midsize_SUV,"177,000",Other,"3,000",2023,1,GCC Specs,4,SUV,Electric,,Automatic Transmission,,400 - 499,,Blue,Black,Yes,"Sharjah University City, Sharjah, UAE",UAE,Sharjah,Sharjah University City,,Owner,25.2997389,55.4859552
Land Rover,Range Rover Evoque,Land Rover Range Rover Evoque,Compact_Midsize_SUV,"176,900",Other,"71,047",2020,4,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,2000 - 2499,100 - 199,4,White,Black,No,"Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,,Dealer,25.343567,55.473511
Nissan,Pathfinder,Nissan Pathfinder,Full_sized_SUV,"35,000",SV,"200,000",2014,10,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,,Unknown,6,Black,Beige,Does not apply,"Mediterranean, Discovery Gardens, Dubai, UAE",UAE,Dubai,Discovery Gardens,Mediterranean,Owner,25.177447,55.5695341
Nissan,Pathfinder,Nissan Pathfinder,Full_sized_SUV,"35,000",SV,"200,000",2014,10,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,,Unknown,6,Black,Beige,Does not apply,"Mediterranean, Discovery Gardens, Dubai, UAE",UAE,Dubai,Discovery Gardens,Mediterranean,Owner,25.177447,55.5695341
Audi,S4/RS4,Audi S4/Rs4,Premium_perf_compact,"35,000",Standard,"95,000",2006,18,Japanese Specs,4,Sedan,Petrol,5,Automatic Transmission,4000+,300 - 399,8,Black,Black,Does not apply,"La Quinta, Villanova, Dubailand, Dubai, UAE",UAE,Dubai,Dubailand,Villanova,Owner,,
Kia,Forte,Kia Forte,Compact_car,"35,000",Other,"63,000",2020,4,American Specs,4,Sedan,Petrol,5,Automatic Transmission,1500 - 1999,100 - 199,4,Burgundy,Black,No,"Al Nahda 2, Al Nahda (Dubai), Dubai, UAE",UAE,Dubai,Al Nahda (Dubai),Al Nahda 2,Dealer,25.3005332,55.3596332
Dodge,Charger,Dodge Charger,Premium_perf_midsize_car,"35,000",Srt8,"340,000",2012,12,Canadian Specs,4,Sports Car,Petrol,5,Automatic Transmission,,700 - 799,8,Black,Black,No,"Dubai, UAE",UAE,Dubai,,,Owner,25.1939625,55.3392449
Infiniti,QX55,Infiniti Qx55,Compact_Midsize_SUV,"175,000",Other,  -    ,2023,1,GCC Specs,4,Hatchback,Petrol,5,Automatic Transmission,2000 - 2499,200 - 299,4,Blue,Beige,Yes,"Al Awir, Dubai, UAE",UAE,Dubai,Al Awir,,Dealer,25.266173,55.3377718
MINI,Cooper,Mini Cooper,Mini_compact,"35,000",Cooper,"84,000",2016,8,Canadian Specs,4,Hatchback,Petrol,5,Automatic Transmission,1500 - 1999,200 - 299,3,Silver,Black,Does not apply,"Umm Dera, Umm Al Qawain, UAE",UAE,Umm Al Qawain,Umm Dera,,Dealer,25.2692794,55.3870978
Renault,Duster,Renault Duster,Subcompact_SUV,"35,000",SE Plus,"98,000",2020,4,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,1000 - 1499,200 - 299,4,Gold,White,Yes,"Al Satwa, Dubai, UAE",UAE,Dubai,Al Satwa,,Owner,25.3084535,55.3671378
Nissan,Pathfinder,Nissan Pathfinder,Full_sized_SUV,"35,499",S 4WD,"194,000",2016,8,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,3500 - 3999,200 - 299,6,White,Beige,Does not apply,"Souq Al Haraj / Tasjeel Village, Saif Zone (Sharjah International Airport Free Zone), Sharjah, UAE",UAE,Sharjah,Saif Zone (Sharjah International Airport Free Zone),Souq Al Haraj / Tasjeel Village,Dealer,25.177447,55.5695341
MINI,Cooper,Mini Cooper,Mini_compact,"35,500",Cooper S,"117,000",2013,11,GCC Specs,2,Hatchback,Petrol,,Automatic Transmission,1500 - 1999,200 - 299,4,Red,Black,No,"Jumeirah 3, Jumeirah, Dubai, UAE",UAE,Dubai,Jumeirah,Jumeirah 3,Owner,25.2692794,55.3870978
Toyota,Corolla,Toyota Corolla,Compact_car,"35,500",SE+,"152,000",2015,9,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499,100 - 199,4,Silver,Unknown,No,"Dubai, UAE",UAE,Dubai,,,Owner,25.244696,55.4417136
Dodge,Durango,Dodge Durango,Full_sized_SUV,"35,500",SXT Plus,"142,000",2014,10,GCC Specs,4,SUV,Petrol,7,Automatic Transmission,3000 - 3499,300 - 399,6,Brown,Beige,No,"Business Bay, Dubai, UAE",UAE,Dubai,Business Bay,,Owner,25.1524105,55.2340999
Opel,Astra,Opel Astra,Sub_compact,"35,500",GTC,"108,000",2015,9,GCC Specs,2,Hatchback,Petrol,4,Automatic Transmission,1000 - 1499,200 - 299,4,Yellow,Black,No,"Business Bay, Dubai, UAE",UAE,Dubai,Business Bay,,Owner,25.1894266,55.264819
Land Rover,Range Rover,Land Rover Range Rover,Premium_fullsize_SUV,"898,000",HSE,35,2024, -   ,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,4000+,500 - 599,8,Green,White,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Certified Pre-Owned,25.266173,55.3377718
Hyundai,H1,Hyundai H1,Compact_pick_up,"35,500",GL,"125,000",2018,6,GCC Specs,3,Van,Petrol,2,Manual Transmission,2000 - 2499,100 - 199,4,White,Unknown,Does not apply,"Ras Al Khor Industrial 2, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.2692794,55.3870978
Toyota,Camry,Toyota Camry,Mid_sized_car,"35,500",SE,"122,000",2017,7,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499,200 - 299,4,White,Beige,No,"Al Qusais Industrial 4, Al Qusais Industrial Area, Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,Al Qusais Industrial Area,Owner,25.1790137,55.379422
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"895,000",G 63 AMG,"7,000",2022,2,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,3500 - 3999,600 - 699,8,Blue,Beige,Yes,"Saadiyat Beach, Saadiyat Island, Abu Dhabi, UAE",UAE,Abu Dhabi,Saadiyat Island,Saadiyat Beach,Owner,25.167737,55.231018
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"885,000",G 63 AMG,"17,000",2022,2,GCC Specs,2,SUV,Petrol,5,Automatic Transmission,,500 - 599,8,Black,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Audi,Q5,Audi Q5,Compact_Midsize_SUV,"173,900",SQ5 Quattro,"33,509",2019,5,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,2000 - 2499,200 - 299,4,Grey,Beige,No,"Jumeirah Village Circle (JVC), Dubai, UAE",UAE,Dubai,Jumeirah Village Circle (JVC),,Dealer,25.266173,55.3377718
Toyota,Avanza,Toyota Avanza,Sub_compact,"35,500",Other,"145,980",2020,4,GCC Specs,5,SUV,Petrol,7,Automatic Transmission,1000 - 1499,200 - 299,4,White,Beige,No,"Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,,Dealer,25.433717,55.514711
Mazda,3,Mazda 3,Compact_car,"35,500",V,"149,000",2018,6,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,1500 - 1999,100 - 199,4,Grey,Black,Yes,"Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,,Dealer,25.1524105,55.2340999
Mazda,3,Mazda 3,Compact_car,"35,500",V,"149,000",2018,6,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,1500 - 1999,100 - 199,4,Grey,Black,Yes,"Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,,Dealer,25.1524105,55.2340999
Lexus,IS-Series,Lexus Is-Series,Premium_compact,"35,500",Other,"233,339",2014,10,American Specs,4,Sedan,Petrol,5,Automatic Transmission,2000 - 2499,200 - 299,6,White,Beige,No,"Dubai Marina, Dubai, UAE",UAE,Dubai,Dubai Marina,,Owner,25.2557676,55.3015053
Land Rover,Defender,Land Rover Defender,Premium_fullsize_SUV,"880,000",Other,"6,819",2015,9,European Specs,3,SUV,Diesel,4,Automatic Transmission,4000+,400 - 499,8,Grey,Black,No,"Chorisia II, Al Barari, Dubai, UAE",UAE,Dubai,Al Barari,Chorisia II,Owner,25.1790137,55.379422
Suzuki,Swift,Suzuki Swift,Sub_compact,"35,800",GLX,  -    ,2024, -   ,Other,5,Hatchback,Petrol,5,Automatic Transmission,1000 - 1499,100 - 199,4,Grey,Black,No,"Ras Al Khor Industrial 3, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.1524105,55.2340999
Suzuki,Swift,Suzuki Swift,Sub_compact,"35,800",GLX,  -    ,2024, -   ,Other,5,Hatchback,Petrol,5,Automatic Transmission,1000 - 1499,100 - 199,4,White,Black,No,"Ras Al Khor Industrial 3, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.1524105,55.2340999
Honda,Civic,Honda Civic,Compact_car,"35,900",EXi,"101,580",2014,10,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,,,4,Black,Beige,No,"Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,,Dealer,25.1524105,55.2340999
Audi,Q5,Audi Q5,Compact_Midsize_SUV,"173,900",SQ5 Quattro,"33,509",2019,5,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,2000 - 2499,200 - 299,4,Grey,Beige,No,"Jumeirah Village Circle (JVC), Dubai, UAE",UAE,Dubai,Jumeirah Village Circle (JVC),,Dealer,25.266173,55.3377718
Nissan,Kicks,Nissan Kicks,Subcompact_SUV,"36,000",Other,"110,000",2020,4,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,Unknown,Unknown,4,White,Beige,Does not apply,"Al Qusais Industrial 5, Al Qusais Industrial Area, Al Qusais, Dubai, UAE",UAE,Dubai,Al Qusais,Al Qusais Industrial Area,Dealer,25.0559446,55.207465
Land Rover,LR3,Land Rover Lr3,Full_sized_SUV,"36,000",HSE,"230,000",2008,16,GCC Specs,5,Other,Petrol,7,Automatic Transmission,2000 - 2499,200 - 299,4,Gold,Beige,Yes,"Abu Dhabi, UAE",UAE,Abu Dhabi,,,Owner,24.4538352,54.3774014
Renault,Duster,Renault Duster,Subcompact_SUV,"36,000",PE,"19,000",2022,2,GCC Specs,2,Van,Petrol,2,Manual Transmission,Unknown,Unknown,4,White,Black,Yes,"Al Mamzar, Sharjah, UAE",UAE,Sharjah,Al Mamzar,,Owner,25.3084535,55.3671378
Renault,Duster,Renault Duster,Subcompact_SUV,"36,000",PE,"19,000",2022,2,GCC Specs,2,Van,Petrol,2,Manual Transmission,Unknown,Unknown,4,White,Black,Yes,"Al Mamzar, Sharjah, UAE",UAE,Sharjah,Al Mamzar,,Owner,25.3084535,55.3671378
Toyota,Yaris,Toyota Yaris,Sub_compact,"36,000",SE,"96,000",2019,5,GCC Specs,4,Sedan,Petrol,5,Automatic Transmission,1000 - 1499,100 - 199,4,White,Beige,Yes,"Nad Al Hamar, Dubai, UAE",UAE,Dubai,Nad Al Hamar,,Owner,25.1524105,55.2340999
Audi,Q5,Audi Q5,Compact_Midsize_SUV,"173,900",SQ5 Quattro,"33,509",2019,5,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,2000 - 2499,200 - 299,4,Grey,Beige,No,"Jumeirah Village Circle (JVC), Dubai, UAE",UAE,Dubai,Jumeirah Village Circle (JVC),,Dealer,25.266173,55.3377718
Honda,Accord,Honda Accord,Mid_sized_car,"36,000",LX,"111,500",2016,8,American Specs,2,Coupe,Petrol,5,Automatic Transmission,2000 - 2499,Unknown,4,Black,Black,Does not apply,"Abu Hail, Deira, Dubai, UAE",UAE,Dubai,Deira,Abu Hail,Owner,25.1790137,55.379422
Lamborghini,Urus,Lamborghini Urus,Premium_fullsize_SUV,"880,000",Other,"120,000",2019,5,GCC Specs,4,SUV,Petrol,4,Automatic Transmission,Unknown,700 - 799,8,Grey,Other Color,Does not apply,"Ras Al Khor Industrial 3, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.167737,55.231018
Lamborghini,Urus,Lamborghini Urus,Premium_fullsize_SUV,"880,000",Other,"120,000",2019,5,GCC Specs,4,SUV,Petrol,4,Automatic Transmission,Unknown,700 - 799,8,Grey,Other Color,Does not apply,"Ras Al Khor Industrial 3, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.167737,55.231018
Bentley,Bentayga,Bentley Bentayga,Premium_fullsize_SUV,"879,000",Other,"3,947",2021,3,Japanese Specs,4,SUV,Petrol,,Automatic Transmission,,400 - 499,6,White,Beige,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.1754665,55.2384739
Kia,Sedona,Kia Sedona,Compact_pick_up,"36,000",LX,"116,000",2017,7,American Specs,4,SUV,Petrol,4,Automatic Transmission,3000 - 3499,300 - 399,6,Gold,Beige,No,"Dubai, UAE",UAE,Dubai,,,Owner,25.3121009,55.4010201
Hyundai,Creta,Hyundai Creta,Subcompact_SUV,"36,000",GLS,"118,000",2017,7,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,1500 - 1999,100 - 199,4,Blue,Black,No,"Dubai, UAE",UAE,Dubai,,,Owner,25.266173,55.3377718
Ford,Mustang,Ford Mustang,Sports_car,"36,000",Ecoboost,"220,000",2016,8,American Specs,2,Coupe,Petrol,4,Automatic Transmission,2000 - 2499,300 - 399,4,Burgundy,Unknown,No,"Al Falah City, Abu Dhabi, UAE",UAE,Abu Dhabi,Al Falah City,,Owner,25.217623,55.2782831
Hyundai,Creta,Hyundai Creta,Subcompact_SUV,"36,000",GLS,"118,000",2017,7,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,1500 - 1999,100 - 199,4,Blue,Black,No,"Dubai, UAE",UAE,Dubai,,,Owner,25.266173,55.3377718
Lexus,IS-C,Lexus Is-C,Premium_compact,"36,000",Other,"136,000",2011,13,American Specs,2,Hard Top Convertible,Petrol,,Automatic Transmission,,300 - 399,6,Grey,White,Does not apply,"Al Warqaa 1, Al Warqaa, Dubai, UAE",UAE,Dubai,Al Warqaa,Al Warqaa 1,Owner,25.1888414,55.4034118
Volkswagen,GTI,Volkswagen Gti,Performance_compact,"36,000",GTi,"156,000",2014,10,GCC Specs,5,Hatchback,Petrol,,Automatic Transmission,,300 - 399,4,Grey,Black,Does not apply,"Mirdif 44 Villas, Uptown Mirdif, Mirdif, Dubai, UAE",UAE,Dubai,Mirdif,Uptown Mirdif,Owner,24.5459724,54.443688
Lexus,IS-C,Lexus Is-C,Premium_compact,"36,000",Other,"136,000",2011,13,American Specs,2,Hard Top Convertible,Petrol,,Automatic Transmission,,300 - 399,6,Grey,White,Does not apply,"Al Warqaa 1, Al Warqaa, Dubai, UAE",UAE,Dubai,Al Warqaa,Al Warqaa 1,Owner,25.1888414,55.4034118
